"San Juan, PR",18.4655, -66.1057
"Honolulu, HI",21.315603,-157.858093
"Key West, FL",24.555059,-81.779984
"Miami, FL",25.761681,-80.191788
"Brownsville, TX",25.901747,-97.497482
"Naples, FL",26.177624,-81.806946
"McAllen, TX",26.203407,-98.230011
"Laredo, TX",27.506748,-99.502914
"Corpus Christi, TX",27.800583,-97.396378
"Tampa, FL",27.964157,-82.452606
"Cape Canaveral, FL",28.396837,-80.605659
"Orlando, FL",28.538336,-81.379234
"Victoria, TX",28.798952,-97.028503
"Uvalde, TX",29.209684,-99.786171
"Daytona Beach, FL",29.218103,-81.031723
"San Antonio, TX",29.424349,-98.491142
"Gainesville, FL",29.651634,-82.324829
"Houston, TX",29.749907,-95.358421
"Port Arthur, TX",29.884951,-93.939949
"San Marcos, TX",29.890661,-97.911530
"St. Augustine, FL",29.901243,-81.312431
"New Orleans, LA",29.951065,-90.071533
"New Iberia, LA",30.005417,-91.818665
"Beaumont, TX",30.080173,-94.126556
"Lake Charles, LA",30.212942,-93.218910
"Lafayette, LA",30.216667,-92.033333
"Austin, TX",30.266666,-97.733330
"Jacksonville, FL",30.332184,-81.655647
"Gulfport, MS",30.367420,-89.092819
"Destin, FL",30.393534,-86.495781
"Biloxi, MS",30.396032,-88.885307
"Pensacola, FL",30.433283,-87.240372
"Tallahassee, FL",30.455000,-84.253334
"Baton Rouge, LA",30.471165,-91.147385
"Anderson, TX",30.487400,-95.987228
"College Station, TX",30.601389,-96.314445
"Georgetown, TX",30.633263,-97.677986
"Mobile, AL",30.695366,-88.039894
"Valdosta, GA",30.832703,-83.278488
"Dothan, AL",31.223812,-85.393356
"Camilla, GA",31.231293,-84.210464
"Hattiesburg, MS",31.327120,-89.290337
"San Angelo, TX",31.442778,-100.450279
"Nacogdoches, TX",31.603514,-94.655487
"Carlsbad, TX",31.604727,-100.640228
"El Paso, TX",31.772543,-106.460953
"Odessa, TX",31.845682,-102.367645
"Midland, TX",32.000507,-102.077408
"Savannah, GA",32.076176,-81.088371
"Jal, NM",32.113182,-103.193512
"Tucson, AZ",32.253460,-110.911789
"Jackson, MS",32.298756,-90.184807
"Casas Adobes, AZ",32.319054,-111.001053
"Las Cruces, NM",32.326595,-106.775436
"Las Cruces, NM",32.346596,-106.787720
"Tyler, TX",32.349998,-95.300003
"Montgomery, AL",32.361668,-86.279167
"Meridian, MS",32.364311,-88.703659
"Abilene, TX",32.448734,-99.733147
"Columbus, GA",32.492222,-84.940277
"Longview, TX",32.514885,-94.737236
"Shreveport, LA",32.523659,-93.763504
"Yuma, AZ",32.698437,-114.650398
"Arlington, TX",32.705002,-97.122780
"San Diego, CA",32.715736,-117.161087
"Carthage, MS",32.732635,-89.536179
"Fort Worth, TX",32.768799,-97.309341
"Charleston, SC",32.776566,-79.930923
"Dallas, TX",32.779167,-96.808891
"Charleston, SC",32.784618,-79.940918
"El Centro, CA",32.793877,-115.561516
"Macon, GA",32.838131,-83.634705
"Allen, TX",33.103172,-96.670547
"Frisco, TX",33.155373,-96.818733
"Tuscaloosa, AL",33.189281,-87.565155
"Georgetown, SC",33.373474,-79.288521
